"subject","trial_order","seed","condition","id","truth","ans","A_pro","B_pro","A_state","B_state"
"dnaye2cpp",1,4,"reliable","exp1a_s4_NG_r","NG","NP","N","G","N","P"
"dnaye2cpp",2,11,"reliable","exp1a_s11_GN_r","GN","NP","G","N","N","P"
"dnaye2cpp",3,16,"reliable","exp1a_s16_PG_r","PG","PG","P","G","P","G"
"dnaye2cpp",4,2,"reliable","exp1a_s2_GN_r","GN","GP","G","N","G","P"
"dnaye2cpp",5,1,"reliable","exp1a_s1_GG_r","GG","GN","G","G","G","N"
"dnaye2cpp",6,14,"reliable","exp1a_s14_NN_r","NN","NP","N","N","N","P"
"dnaye2cpp",7,13,"reliable","exp1a_s13_NG_r","NG","GN","N","G","G","N"
"dnaye2cpp",8,3,"reliable","exp1a_s3_GP_r","GP","NN","G","P","N","N"
"dnaye2cpp",9,7,"reliable","exp1a_s7_PG_r","PG","NG","P","G","N","G"
"dnaye2cpp",10,17,"reliable","exp1a_s17_PN_r","PN","PN","P","N","P","N"
"dnaye2cpp",11,15,"reliable","exp1a_s15_NP_r","NP","NN","N","P","N","N"
"dnaye2cpp",12,18,"reliable","exp1a_s18_PP_r","PP","PP","P","P","P","P"
"dnaye2cpp",13,10,"reliable","exp1a_s10_GG_r","GG","NN","G","G","N","N"
"dnaye2cpp",14,8,"reliable","exp1a_s8_PN_r","PN","PN","P","N","P","N"
"dnaye2cpp",15,9,"reliable","exp1a_s9_PP_r","PP","PP","P","P","P","P"
"dnaye2cpp",16,5,"reliable","exp1a_s5_NN_r","NN","NP","N","N","N","P"
"dnaye2cpp",17,6,"reliable","exp1a_s6_NP_r","NP","NP","N","P","N","P"
"dnaye2cpp",18,12,"reliable","exp1a_s12_GP_r","GP","NP","G","P","N","P"
"niag2oupb",1,2,"reliable","exp1a_s2_GN_r","GN","GN","G","N","G","N"
"niag2oupb",2,3,"reliable","exp1a_s3_GP_r","GP","GP","G","P","G","P"
"niag2oupb",3,13,"reliable","exp1a_s13_NG_r","NG","GG","N","G","G","G"
"niag2oupb",4,17,"reliable","exp1a_s17_PN_r","PN","PG","P","N","P","G"
"niag2oupb",5,18,"reliable","exp1a_s18_PP_r","PP","PP","P","P","P","P"
"niag2oupb",6,1,"reliable","exp1a_s1_GG_r","GG","GG","G","G","G","G"
"niag2oupb",7,4,"reliable","exp1a_s4_NG_r","NG","GG","N","G","G","G"
"niag2oupb",8,6,"reliable","exp1a_s6_NP_r","NP","GP","N","P","G","P"
"niag2oupb",9,16,"reliable","exp1a_s16_PG_r","PG","GG","P","G","G","G"
"niag2oupb",10,9,"reliable","exp1a_s9_PP_r","PP","PP","P","P","P","P"
"niag2oupb",11,14,"reliable","exp1a_s14_NN_r","NN","GN","N","N","G","N"
"niag2oupb",12,15,"reliable","exp1a_s15_NP_r","NP","NP","N","P","N","P"
"niag2oupb",13,12,"reliable","exp1a_s12_GP_r","GP","GP","G","P","G","P"
"niag2oupb",14,11,"reliable","exp1a_s11_GN_r","GN","GN","G","N","G","N"
"niag2oupb",15,8,"reliable","exp1a_s8_PN_r","PN","NN","P","N","N","N"
"niag2oupb",16,5,"reliable","exp1a_s5_NN_r","NN","NN","N","N","N","N"
"niag2oupb",17,10,"reliable","exp1a_s10_GG_r","GG","GG","G","G","G","G"
"niag2oupb",18,7,"reliable","exp1a_s7_PG_r","PG","PG","P","G","P","G"
"cw64vutph",1,5,"reliable","exp1a_s5_NN_r","NN","NN","N","N","N","N"
"cw64vutph",2,12,"reliable","exp1a_s12_GP_r","GP","NP","G","P","N","P"
"cw64vutph",3,7,"reliable","exp1a_s7_PG_r","PG","PN","P","G","P","N"
"cw64vutph",4,14,"reliable","exp1a_s14_NN_r","NN","NN","N","N","N","N"
"cw64vutph",5,16,"reliable","exp1a_s16_PG_r","PG","PG","P","G","P","G"
"cw64vutph",6,11,"reliable","exp1a_s11_GN_r","GN","GN","G","N","G","N"
"cw64vutph",7,13,"reliable","exp1a_s13_NG_r","NG","PG","N","G","P","G"
"cw64vutph",8,15,"reliable","exp1a_s15_NP_r","NP","NP","N","P","N","P"
"cw64vutph",9,2,"reliable","exp1a_s2_GN_r","GN","GN","G","N","G","N"
"cw64vutph",10,6,"reliable","exp1a_s6_NP_r","NP","PP","N","P","P","P"
"cw64vutph",11,17,"reliable","exp1a_s17_PN_r","PN","PP","P","N","P","P"
"cw64vutph",12,4,"reliable","exp1a_s4_NG_r","NG","NN","N","G","N","N"
"cw64vutph",13,10,"reliable","exp1a_s10_GG_r","GG","GG","G","G","G","G"
"cw64vutph",14,3,"reliable","exp1a_s3_GP_r","GP","GP","G","P","G","P"
"cw64vutph",15,18,"reliable","exp1a_s18_PP_r","PP","PN","P","P","P","N"
"cw64vutph",16,1,"reliable","exp1a_s1_GG_r","GG","GG","G","G","G","G"
"cw64vutph",17,8,"reliable","exp1a_s8_PN_r","PN","PG","P","N","P","G"
"cw64vutph",18,9,"reliable","exp1a_s9_PP_r","PP","PP","P","P","P","P"
"j5apnv0m1",1,12,"unreliable","exp1a_s12_GP_u","GP","GN","G","P","G","N"
"j5apnv0m1",2,8,"unreliable","exp1a_s8_PN_u","PN","PG","P","N","P","G"
"j5apnv0m1",3,13,"unreliable","exp1a_s13_NG_u","NG","PG","N","G","P","G"
"j5apnv0m1",4,1,"unreliable","exp1a_s1_GG_u","GG","GG","G","G","G","G"
"j5apnv0m1",5,18,"unreliable","exp1a_s18_PP_u","PP","PP","P","P","P","P"
"j5apnv0m1",6,11,"unreliable","exp1a_s11_GN_u","GN","GN","G","N","G","N"
"j5apnv0m1",7,6,"unreliable","exp1a_s6_NP_u","NP","GG","N","P","G","G"
"j5apnv0m1",8,5,"unreliable","exp1a_s5_NN_u","NN","PN","N","N","P","N"
"j5apnv0m1",9,4,"unreliable","exp1a_s4_NG_u","NG","GG","N","G","G","G"
"j5apnv0m1",10,9,"unreliable","exp1a_s9_PP_u","PP","PG","P","P","P","G"
"j5apnv0m1",11,14,"unreliable","exp1a_s14_NN_u","NN","NP","N","N","N","P"
"j5apnv0m1",12,10,"unreliable","exp1a_s10_GG_u","GG","GG","G","G","G","G"
"j5apnv0m1",13,7,"unreliable","exp1a_s7_PG_u","PG","NG","P","G","N","G"
"j5apnv0m1",14,3,"unreliable","exp1a_s3_GP_u","GP","PP","G","P","P","P"
"j5apnv0m1",15,17,"unreliable","exp1a_s17_PN_u","PN","PG","P","N","P","G"
"j5apnv0m1",16,16,"unreliable","exp1a_s16_PG_u","PG","PN","P","G","P","N"
"j5apnv0m1",17,2,"unreliable","exp1a_s2_GN_u","GN","NG","G","N","N","G"
"j5apnv0m1",18,15,"unreliable","exp1a_s15_NP_u","NP","NP","N","P","N","P"
"o1azitfmf",1,7,"reliable","exp1a_s7_PN_r","PN","PN","P","N","P","N"
"o1azitfmf",2,3,"reliable","exp1a_s3_NG_r","NG","GG","N","G","G","G"
"o1azitfmf",3,13,"reliable","exp1a_s13_NN_r","NN","PP","N","N","P","P"
"o1azitfmf",4,12,"reliable","exp1a_s12_NG_r","NG","PP","N","G","P","P"
"o1azitfmf",5,16,"reliable","exp1a_s16_PN_r","PN","PP","P","N","P","P"
"o1azitfmf",6,10,"reliable","exp1a_s10_GN_r","GN","PP","G","N","P","P"
"o1azitfmf",7,4,"reliable","exp1a_s4_NN_r","NN","PP","N","N","P","P"
"o1azitfmf",8,8,"reliable","exp1a_s8_PP_r","PP","PP","P","P","P","P"
"o1azitfmf",9,6,"reliable","exp1a_s6_PG_r","PG","PP","P","G","P","P"
"o1azitfmf",10,2,"reliable","exp1a_s2_GP_r","GP","PP","G","P","P","P"
"o1azitfmf",11,15,"reliable","exp1a_s15_PG_r","PG","PP","P","G","P","P"
"o1azitfmf",12,11,"reliable","exp1a_s11_GP_r","GP","PP","G","P","P","P"
"o1azitfmf",13,18,"reliable","exp1a_s18_GG_r","GG","PP","G","G","P","P"
"o1azitfmf",14,14,"reliable","exp1a_s14_NP_r","NP","PP","N","P","P","P"
"o1azitfmf",15,17,"reliable","exp1a_s17_PP_r","PP","PP","P","P","P","P"
"o1azitfmf",16,5,"reliable","exp1a_s5_NP_r","NP","NP","N","P","N","P"
"o1azitfmf",17,9,"reliable","exp1a_s9_GG_r","GG","PP","G","G","P","P"
"o1azitfmf",18,1,"reliable","exp1a_s1_GN_r","GN","PP","G","N","P","P"
"yf6dd6np5",1,2,"unreliable","exp1a_s2_GP_u","GP","NP","G","P","N","P"
"yf6dd6np5",2,7,"unreliable","exp1a_s7_PN_u","PN","PP","P","N","P","P"
